id,name,points,regiment,regiment_title,status,inactive_date,is_trainee,trainee_points_needed,title
<@787337620282933269>,SKYLINE,,,,Active,,,,GA
<@525096028488204288>,HELLBOUND,103,Shield,,Active,,,,BG
<@920689279208914974>,BRIMSTONE,208,Navy,,Active,,,,C
<@695370171954757733>,THATCH,152,Shield,,Active,,,,LTC
<@244997624778850304>,SHIKRA,164,Restoration,,Inactive,,,,CPT
<@428327736600297475>,AERIAL,142,Navy,,Active,,,,CPT
<@952574266560380988>,FENIX,106,Navy,,Active,,,,CPT
<@763925107000213514>,SUNBURN,97,Airforce,,Active,,,,1LT
<@1037800308224569507>,KITE,128,Airforce,,Inactive,,,,CSM
<@337534417557913600>,CHRYSAETOS,98,Navy,,Inactive,,,,SGM
<@338051014974504961>,TOPAZ,98,Navy,,Inactive,,,,SGM
<@436289865739665410>,ALPINE,105,Navy,,Inactive,,,,CWO-2
<@781959410461311007>,ARCUS,103,Archery,,Active,,,,CWO-2
<@950891260984557618>,LAMMERGEIER,89,Archery,,Inactive,,,,CWO-2
<@858861561863209020>,TWISTER,146,Restoration,,Active,,,,
<@1007086951955976283>,FALCON,122,Airforce,,Inactive,,,,
<@1253470227719782552>,CALLIE,104,Navy,,Active,,,,
<@388749791682625537>,CANYON,85,Airforce,,Active,,,,
<@1091866016440647720>,MAYDAY,84,Archery,,Active,,,,
<@748313765262524530>,TORRID,81,Shield,,Inactive,,,,
<@929918738944360488>,BRISK,75,Shield,,Inactive,,,,
<@467989814390816779>,SPINEL,70,Navy,,Active,,,,
<@907828506732412928>,CANARY,69,Navy,,Active,,,,
<@1087933242180640860>,CARDINAL,67,Navy,,Inactive,,,,
<@1345183916696277027>,CITATION,67,Airforce,,Active,,,,
<@820105616290611230>,ASPERITAS,65,Restoration,,Inactive,,,,
<@902690188743016559>,ARACELY,64,Restoration,,Inactive,,,,
<@903116712348635166>,SINOPIA,63,Shield,,Active,,,,
<@859937392093691955>,ROBIN,62,Navy,,Inactive,,,,
<@1048089084872106015>,KESTREL,56,Shield,,Active,,,,
<@756041918936383538>,BARATRUM,53,Airforce,,Active,,,,
<@620753690122387478>,CUIRASSIER,52,Shield,,Active,,,,
<@700176866899787859>,FINCH,52,Archery,,Inactive,,,,
<@773006176689324063>,SKY'DREADER,52,Shield,,Active,,,,
<@675659991432298532>,SAKER,51,Archery,,Inactive,,,,
<@1264446911771840535>,MOCKINGJAY,43,Archery,,Inactive,,,,
<@1068665707912515666>,BONFIRE,42,Airforce,,Inactive,,,,
<@987742957119615028>,BISHOP,41,Navy,,Active,,,,
<@598302236983951360>,OGON,37,Archery,,Active,,,,
<@710610253158547649>,OPALITE,37,Airforce,,Inactive,,,,
<@1264012086736978010>,SEAR,37,Shield,,Inactive,,,,
<@878379746327662592>,IZZY,36,Airforce,,Inactive,,,,
<@823014878431543296>,HARPY,34,Airforce,,Inactive,,,,
<@762120374330327070>,STALEMATE,33,Archery,,Active,,,,
<@1196464534613917766>,HURRICANE,32,Navy,,Active,,,,
<@1316045324581736489>,IGNITE,32,Restoration,,Active,,,,
<@966423987783606362>,TYTO,32,Airforce,,Inactive,,,,
<@846928824486592514>,IMPERIAL,31,Shield,,Inactive,,,,
<@1022279414903472158>,RUST,31,Airforce,,Inactive,,,,
<@1330507752111607859>,SOLSTICE,31,Airforce,,Inactive,,,,
<@1258788609537085440>,THERIA,31,Archery,,Inactive,,,,
<@947229317761482774>,HERON,29,Navy,,Inactive,,,,
<@935030286561984583>,SOARE,29,Archery,,Inactive,,,,
<@916440230431686688>,PARAIBA,27,Restoration,,Active,,,,
<@804173883413626900>,SOLO,27,Airforce,,Inactive,,,,
<@1141092610409238688>,AURELIAN,25,Airforce,,Inactive,,,,
<@887829701660409917>,SKYDIVE,24,Airforce,,Active,,,,
<@1281023164264218686>,CELESTIAL,22,Airforce,,Active,,,,
<@893144157651091487>,KYUDO,22,Archery,,Inactive,,,,
<@1440373054172565595>,MAAR,22,Airforce,,Inactive,,,,
<@873781510262648843>,PETRICHOR,22,Shield,,Inactive,,,,
<@1231095380280606731>,ROMAN,22,Shield,,Active,,,,
<@1258115618033369221>,SANGUINE,22,Shield,,Inactive,,,,
<@925149467575984138>,SUNSTONE,22,Airforce,,Inactive,,,,
<@933070348046462996>,THRA,22,Airforce,,Inactive,,,,
<@1161402347369545808>,BANDED,21,Restoration,,Inactive,,,,
<@1340345954733392014>,SAORSA,21,Restoration,,Active,,,,
<@1074428252959035474>,CORE,20,Airforce,,Inactive,,,,
<@1120786657600339978>,VALEKAR,20,Airforce,,Active,,,,
<@1025733141173903421>,EMBER,19,Archery,,Inactive,,,,
<@1237763568762355838>,FIRENADO,19,Archery,,Inactive,,,,
<@1215078132139429989>,KAZAN,19,Navy,,Active,,,,
<@408588787128598543>,METEORA,19,Restoration,,Inactive,,,,
<@880882779498364958>,HALO,18,Airforce,,Inactive,,,,
<@1440366080718798919>,STYGIAN,18,Archery,,Active,,,,
<@829064210541576212>,CORIOLANUS,17,Archery,,Active,,,,
<@1071623997785124874>,RAVINE,17,Shield,,Inactive,,,,
<@1237824542043541577>,CUPRITE,16,Airforce,,Active,,,,
<@780575153343168552>,DAHLIA,16,Airforce,,Active,,,,
<@1304068576474300541>,PEREGRINE,16,Restoration,,Inactive,,,,
<@1002399575669219458>,GOAT,15,Airforce,,Inactive,,,,
<@1058095583874793481>,LONGSPUR,15,Restoration,,Inactive,,,,
<@703428557896024084>,RAPTOR,15,Airforce,,Inactive,,,,
<@1147330597379920023>,EUCHLORITE,14,Restoration,,Inactive,,,,
<@825481990111232082>,GLADIATOR,14,Archery,,Inactive,,,,
<@958061108730679306>,MOUNTAINSIDE,14,Restoration,,Inactive,,,,
<@1152193648826527806>,ALPER,13,Archery,,Inactive,,,,
<@727391807494684772>,MARFA,13,Navy,,Active,,1,2,
<@1115752490529456208>,SUNFIRE,13,Airforce,,Active,,,,
<@1244442005652639835>,FIREHAWK,12,Airforce,,Inactive,,,,
<@1190399106363949068>,RAINOR,12,Archery,,Inactive,,,,
<@1078795106573889698>,RUSTY,12,Shield,,Active,,,,
<@400522248605138945>,STRIX,12,Navy,,Inactive,,,,
<@1177436083726852127>,CRIMSON,11,Shield,,Inactive,,,,
<@940736779437355038>,EAGLE,11,Airforce,,Inactive,,,,
<@807251870053433395>,AURUM,10,Restoration,,Inactive,,,,
<@1259592555444572363>,RHODOCHROSITE,10,Airforce,,Inactive,,,,
<@959584516828176424>,VERDIN,10,Navy,,Inactive,,,,
<@1178067094181515285>,CITRIUS,9,Airforce,,Inactive,,,,
<@920136141678710794>,FENRIN,9,Shield,,Inactive,,,,
<@1328029929383792661>,POSSUM,9,Archery,,Active,,,,
<@202553237432172544>,SHRIKE,9,Restoration,,Inactive,,,,
<@844981191987298324>,ACE,8,Restoration,,Active,,,,
<@1093949187248365721>,AMBER,8,Shield,,Inactive,,,,
<@1468049844663746675>,COPPER,8,Airforce,,Active,,,,
<@739163656583118878>,GRANITE,8,Airforce,,Inactive,,,,
<@1037497972470075444>,JABBERBIRD,8,Navy,,Active,,,,
<@851539559090094160>,ROSEATE,8,Archery,,Active,,,,
<@1086773750449590384>,SKYFIRE,8,Navy,,Inactive,,,,
<@1266905169896149074>,PYRAXIS,7,Restoration,,Active,,,,
<@1449197878412316897>,REDSTART,7,Archery,,Active,,,,
<@1230722986185850931>,STRATUS,7,Restoration,,Inactive,,,,
<@684877375464669241>,BUZZARD,6,Airforce,,Inactive,,,,
<@1107826218788737074>,CAELUM,6,Archery,,Active,,,,
<@1057193538716172288>,DEITY,6,Restoration,,Inactive,,,,
<@1208581678096715841>,ICHOR,6,Navy,,Inactive,,,,
<@475025347969155072>,IONKNO,6,Shield,,Inactive,,,,
<@913250321466261535>,JAYBIRD,6,Archery,,Inactive,,,,
<@781769824932986880>,RAV,6,Archery,,Inactive,,,,
<@1416882862774419606>,SHADELINER,6,Archery,,Active,,,,
<@1279801568287264890>,SOLFLARE,6,Navy,,Active,,,,
<@1011248122879545394>,TYRAN,6,Archery,,Inactive,,,,
<@427192703827312640>,ASHES,10,Shield,,Active,,,,
<@1276204777948315688>,FRUTIGER,5,Airforce,,Active,,,,
<@1088717484812685312>,MALACHITE,5,Restoration,,Active,,,,
<@817140580571152415>,MASSIF,5,Restoration,,Inactive,,,,
<@1322623450392563752>,NIGHTFALL,5,Airforce,,Inactive,,,,
<@1487269354608525384>,OCTOBER,5,Airforce,,Active,,,,
<@1094591360851521679>,OSTRICH,5,Airforce,,Inactive,,,,
<@281132280897077250>,PYRALETH,5,Shield,,Active,,,,
<@1262047854525022303>,RANGER,5,Navy,,Inactive,,,,
<@1140881081206317127>,ROYAUME,5,Airforce,,Inactive,,,,
<@1290139765915517046>,SALTLAMP,5,Airforce,,Active,,,,
<@1446275568004763739>,SINGE,5,Restoration,,Inactive,,,,
<@1096989890358546502>,SUNOPAL,5,Airforce,,Inactive,,,,
<@763854375344275496>,TOMORROW,5,Restoration,,Inactive,,,,
<@381715173972639747>,VEGA,5,Navy,,Inactive,,,,
<@1342522477045223600>,ADARABLAZE,4,Airforce,,Active,,,,
<@1347744092217413652>,CLARET,4,Restoration,,Inactive,,,,
<@1277163669939028025>,DEFTSWAIN,4,Restoration,,Inactive,,,,
<@1376009219953918045>,HEATHEN,4,Airforce,,Active,,,,
<@1035234658381733969>,MESHU,4,Shield,,Active,,,,
<@865730998033186838>,MURMURATION,4,Archery,,Active,,,,
<@720524117354217492>,NASHORN,4,Shield,,Inactive,,,,
<@1331408129375862827>,YUVE,4,Shield,,Active,,,,
<@1254233596189741058>,AEROSPACE,3,Airforce,,Inactive,,,,
<@547166920231616513>,ASPEN,3,Archery,,Inactive,,,,
<@972234073902829608>,ATLANTIS,3,Airforce,,Inactive,,,,
<@1162030875022721024>,CAVERN,3,Shield,,Inactive,,,,
<@1270924342913536104>,CHARCOAL,3,Airforce,,Inactive,,,,
<@1167189597227339858>,CORDILLERA,3,Shield,,Active,,,,
<@849304042592534548>,CORDOVAN,3,Restoration,,Inactive,,,,
<@669273890815475712>,CORVID,3,Archery,,Inactive,,,,
<@725466939639726111>,DAYBREAK,3,Airforce,,Inactive,,,,
<@1188928731016855663>,FALSEDAWN,3,Shield,,Active,,,,
<@1231492623383134311>,HEN,3,Airforce,,Inactive,,,,
<@939359479080816650>,HU TAO,3,Archery,,Inactive,,,,
<@751554533544427550>,OLEANDER,3,Navy,,Inactive,,,,
<@1248753405791572039>,OWL,3,Airforce,,Inactive,,,,
<@649002230187294762>,PYROCLASTIC,3,Airforce,,Inactive,,,,
<@913471526056099910>,RA,3,Restoration,,Inactive,,,,
<@495041629175021579>,RADIANCE,3,Airforce,,Inactive,,,,
<@1213684300596387875>,RIXAS,3,Airforce,,Inactive,,,,
<@1189836492772753480>,SOLIVANE,3,Restoration,,Inactive,,,,
<@760574918248103976>,SOLMARA,3,Restoration,,Active,,,,
<@683722314562535516>,SPARROW,3,Shield,,Inactive,,,,
<@1188946691777384562>,TSA,3,Airforce,,Active,,,,
<@1446522589701734457>,VALLIENTRE,3,Archery,,Active,,,,
<@1382080073179594802>,AERITHN,2,Restoration,,Inactive,,,,
<@797901267627147284>,AILERON,2,Archery,,Active,,,,
<@1331010531208990822>,AKAI,2,Restoration,,Inactive,,,,
<@1270173765611028521>,ALEXORNIS,2,Navy,,Active,,,,
<@839542529342177341>,APOCALYPSE,2,Archery,,Inactive,,,,
<@1157866796574060544>,APPALACHIAN,2,Archery,,Inactive,,,,
<@874389010288611398>,ARGENTAVIS,2,Shield,,Active,,,,
<@1443616192328761467>,ARIES,2,Navy,,Active,,,,
<@765601071736422420>,AZURE,2,Restoration,,Inactive,,,,
<@1194734160984674388>,BLITZ,2,Airforce,,Active,,,,
<@1268213736162988032>,CATBIRD,2,Restoration,,Active,,,,
<@824099724172328980>,CLYPEATE,2,Shield,,Inactive,,,,
<@1147117342267035779>,CRACKLE,2,Restoration,,Active,,,,
<@744257031984119899>,CUMULUS,2,Navy,,Inactive,,,,
<@1244462682841550960>,CURLEW,2,Navy,,Active,,,,
<@858464232563408918>,DEKAHEDRES,2,Archery,,Active,,,,
<@942846966361120859>,DINOSAUR,2,Navy,,Inactive,,,,
<@877694139041480735>,DRAGONFLY,2,Navy,,Active,,,,
<@528228711968014360>,EVENTIDE,2,Shield,,Active,,,,
<@1455744925940580376>,FIRELIGHT,2,Shield,,Inactive,,,,
<@963995065334767647>,HOTSHOT,2,Airforce,,Inactive,,,,
<@972204920969240638>,HYPERCANE,2,Shield,,Inactive,,,,
<@1435123856904945714>,INCOGNITO,2,Navy,,Active,,,,
<@1115746867142201426>,INFERNO,2,Airforce,,Inactive,,,,
<@1380594620437762130>,KYAWTHUITE,2,Shield,,Active,,,,
<@485901464028446732>,LANIUS,2,Shield,,Active,,,,
<@1273684287559827612>,MONSOON,2,Shield,,Inactive,,,,
<@1435434516599673032>,NÓTOS,2,Archery,,Active,,,,
